Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
21-NOV-2014,14.165,15.145,11.05,13.8525,14.165,-0.31,-2.21
24-NOV-2014,13.8525,13.8525,9.3475,13.0175,13.8525,-0.84,-6.03
25-NOV-2014,13.0175,14.2475,11.4525,13.525,13.0175,0.51,3.90
26-NOV-2014,13.525,13.5375,10.6075,12.985,13.525,-0.54,-3.99
27-NOV-2014,12.985,13.1175,11.65,12.7425,12.985,-0.24,-1.87
28-NOV-2014,12.7425,13.125,11.595,12.8975,12.7425,0.16,1.22
01-DEC-2014,12.8975,13.615,12.1975,13.2025,12.8975,0.31,2.36
02-DEC-2014,13.2025,13.3325,12.205,12.395,13.2025,-0.81,-6.12
03-DEC-2014,12.395,12.6075,11.2875,12.3675,12.395,-0.03,-0.22
04-DEC-2014,12.3675,12.635,10.715,12.445,12.3675,0.08,0.63
05-DEC-2014,12.445,12.445,11.325,11.95,12.445,-0.50,-3.98
08-DEC-2014,11.95,12.6525,11.2275,12.2075,11.95,0.26,2.15
09-DEC-2014,12.2075,13.0825,10.8225,12.495,12.2075,0.29,2.36
10-DEC-2014,12.495,12.965,11.5725,12.2425,12.495,-0.25,-2.02
11-DEC-2014,12.2425,12.9025,11.1875,12.7725,12.2425,0.53,4.33
12-DEC-2014,12.7725,13.91,11.5325,13.7525,12.7725,0.98,7.67
15-DEC-2014,13.7525,14.3275,12.565,14.02,13.7525,0.27,1.95
16-DEC-2014,14.02,16.555,12.5725,16.3075,14.02,2.29,16.32
17-DEC-2014,16.3075,19.0625,14.195,16.925,16.3075,0.62,3.79
18-DEC-2014,16.925,16.925,13.9725,14.5975,16.925,-2.33,-13.75
19-DEC-2014,14.5975,14.775,11.845,14.51,14.5975,-0.09,-0.60
22-DEC-2014,14.51,15.5775,14.0225,14.21,14.51,-0.30,-2.07
23-DEC-2014,14.21,16.115,13.5475,15.2975,14.21,1.09,7.65
24-DEC-2014,15.2975,15.6125,14.3,15.07,15.2975,-0.23,-1.49
26-DEC-2014,15.07,16.355,14.3975,14.645,15.07,-0.43,-2.82
29-DEC-2014,14.645,15.0425,14.2175,14.5825,14.645,-0.06,-0.43
30-DEC-2014,14.5825,15.2225,14.1425,14.8625,14.5825,0.28,1.92
31-DEC-2014,14.8625,15.4025,14.6025,15.12,14.8625,0.26,1.73
01-JAN-2015,15.12,15.5075,14.755,15.025,15.12,-0.10,-0.63
02-JAN-2015,15.025,15.025,13.4825,13.795,15.025,-1.23,-8.19
05-JAN-2015,13.795,14.405,13.1525,14.1525,13.795,0.36,2.59
06-JAN-2015,14.1525,17.87,13.4575,17.42,14.1525,3.27,23.09
07-JAN-2015,17.42,19.07,16.5025,18.14,17.42,0.72,4.13
08-JAN-2015,18.14,18.14,15.3825,16.4725,18.14,-1.67,-9.19
09-JAN-2015,16.4725,16.9075,14.4625,15.955,16.4725,-0.52,-3.14
12-JAN-2015,15.955,17.5475,14.3725,16.11,15.955,0.16,0.97
13-JAN-2015,16.11,16.81,14.5725,16.4825,16.11,0.37,2.31
14-JAN-2015,16.4825,17.795,14.66,17.2475,16.4825,0.77,4.64
15-JAN-2015,17.2475,17.2475,13.825,16.16,17.2475,-1.09,-6.31
16-JAN-2015,16.16,17.4975,14.86,17.275,16.16,1.12,6.90
19-JAN-2015,17.275,18.29,14.555,17.65,17.275,0.38,2.17
20-JAN-2015,17.65,17.65,15.715,17.2725,17.65,-0.38,-2.14
21-JAN-2015,17.2725,18.1425,14.33,17.7125,17.2725,0.44,2.55
22-JAN-2015,17.7125,18.7625,14.205,18.565,17.7125,0.85,4.81
23-JAN-2015,18.565,18.74,13.46,17.885,18.565,-0.68,-3.66
27-JAN-2015,17.885,18.685,16.7775,18.085,17.885,0.20,1.12
28-JAN-2015,18.085,20.145,17.62,19.77,18.085,1.69,9.32
29-JAN-2015,19.77,20.5675,17.7025,19.4325,19.77,-0.34,-1.71
30-JAN-2015,19.4325,21.21,18.325,20.1725,19.4325,0.74,3.81
02-FEB-2015,20.1725,21.365,19.855,20.405,20.1725,0.23,1.15
03-FEB-2015,20.405,20.48,19.0025,19.8075,20.405,-0.60,-2.93
04-FEB-2015,19.8075,20.2925,17.9725,20.05,19.8075,0.24,1.22
05-FEB-2015,20.05,20.89,18.26,20.615,20.05,0.57,2.82
06-FEB-2015,20.615,21.24,18.72,20.685,20.615,0.07,0.34
09-FEB-2015,20.685,22.1225,18.5875,22.015,20.685,1.33,6.43
10-FEB-2015,22.015,22.015,19.85,21.1925,22.015,-0.82,-3.74
11-FEB-2015,21.1925,21.5075,18.535,20.5025,21.1925,-0.69,-3.26
12-FEB-2015,20.5025,20.96,17.93,20.1575,20.5025,-0.35,-1.68
13-FEB-2015,20.1575,20.4475,16.98,20.1025,20.1575,-0.06,-0.27
16-FEB-2015,20.1025,21.1175,17.475,20.825,20.1025,0.72,3.59
18-FEB-2015,20.825,21.6475,18.6525,20.9125,20.825,0.09,0.42
19-FEB-2015,20.9125,21.9075,19.4025,20.3975,20.9125,-0.52,-2.46
20-FEB-2015,20.3975,21.5,19.235,21.2675,20.3975,0.87,4.27
23-FEB-2015,21.2675,22.02,19.405,21.6325,21.2675,0.37,1.72
24-FEB-2015,21.6325,22.0675,20.9175,21.55,21.6325,-0.08,-0.38
25-FEB-2015,21.55,21.55,20.215,20.775,21.55,-0.78,-3.60
26-FEB-2015,20.775,21.235,19.9425,20.58,20.775,-0.20,-0.94
27-FEB-2015,20.58,20.58,19.3,19.57,20.58,-1.01,-4.91
28-FEB-2015,19.57,19.57,16.6925,16.97,19.57,-2.60,-13.29
02-MAR-2015,16.97,16.97,15.7425,15.8475,16.97,-1.12,-6.61
03-MAR-2015,15.8475,15.9475,14.98,15.4925,15.8475,-0.36,-2.24
04-MAR-2015,15.4925,15.4925,14.2975,15.1975,15.4925,-0.30,-1.90
05-MAR-2015,15.1975,15.2475,13.97,14.4375,15.1975,-0.76,-5.00
09-MAR-2015,14.4375,16.0075,13.315,15.8125,14.4375,1.38,9.52
10-MAR-2015,15.8125,16.15,14.955,15.5325,15.8125,-0.28,-1.77
11-MAR-2015,15.5325,15.61,14.245,15.13,15.5325,-0.40,-2.59
12-MAR-2015,15.13,15.13,13.7825,14.75,15.13,-0.38,-2.51
13-MAR-2015,14.75,15.235,13.45,14.965,14.75,0.22,1.46
16-MAR-2015,14.965,15.37,14.3275,15.1775,14.965,0.21,1.42
17-MAR-2015,15.1775,15.4625,13.43,15.1275,15.1775,-0.05,-0.33
18-MAR-2015,15.1275,15.7025,13.7225,15.5125,15.1275,0.39,2.55
19-MAR-2015,15.5125,15.5125,12.89,15.1975,15.5125,-0.32,-2.03
20-MAR-2015,15.1975,15.36,13.0825,14.26,15.1975,-0.94,-6.17
23-MAR-2015,14.26,14.58,12.435,14.27,14.26,0.01,0.07
24-MAR-2015,14.27,14.49,12.4525,13.6725,14.27,-0.60,-4.19
25-MAR-2015,13.6725,13.9475,12.36,13.1425,13.6725,-0.53,-3.88
26-MAR-2015,13.1425,15.6075,12.5175,15.1625,13.1425,2.02,15.37
27-MAR-2015,15.1625,15.4025,14.37,14.5,15.1625,-0.66,-4.37
30-MAR-2015,14.5,15.19,14.1075,14.2625,14.5,-0.24,-1.64
31-MAR-2015,14.2625,14.74,13.855,14.4925,14.2625,0.23,1.61
01-APR-2015,14.4925,14.6825,13.565,13.665,14.4925,-0.83,-5.71
06-APR-2015,13.665,15.0525,13.595,14.5725,13.665,0.91,6.64
07-APR-2015,14.5725,14.895,13.98,14.25,14.5725,-0.32,-2.21
08-APR-2015,14.25,14.695,13.35,14.3475,14.25,0.10,0.68
09-APR-2015,14.3475,14.8925,13.2875,14.4175,14.3475,0.07,0.49
10-APR-2015,14.4175,14.79,13.4275,14.255,14.4175,-0.16,-1.13
13-APR-2015,14.255,14.93,13.055,14.4875,14.255,0.23,1.63
15-APR-2015,14.4875,14.985,13.34,14.62,14.4875,0.13,0.91
16-APR-2015,14.62,15.3,12.9675,14.95,14.62,0.33,2.26
17-APR-2015,14.95,15.1775,13.62,15.04,14.95,0.09,0.60
20-APR-2015,15.04,16.4225,13.6625,16.2975,15.04,1.26,8.36
21-APR-2015,16.2975,17.34,15.2275,17.03,16.2975,0.73,4.49
22-APR-2015,17.03,18.3775,14.69,17.21,17.03,0.18,1.06
23-APR-2015,17.21,19.435,14.965,18.5,17.21,1.29,7.50
24-APR-2015,18.5,19.5925,17.36,19.105,18.5,0.61,3.27
27-APR-2015,19.105,20.0875,16.2175,18.735,19.105,-0.37,-1.94
28-APR-2015,18.735,18.895,16.745,17.41,18.735,-1.33,-7.07
29-APR-2015,17.41,17.885,15.725,17.235,17.41,-0.18,-1.01
30-APR-2015,17.235,18.1225,16.3075,17.225,17.235,-0.01,-0.06
04-MAY-2015,17.225,18.2825,16.96,17.3075,17.225,0.08,0.48
05-MAY-2015,17.3075,18.07,16.2725,17.365,17.3075,0.06,0.33
06-MAY-2015,17.365,20.4625,16.7075,19.67,17.365,2.31,13.27
07-MAY-2015,19.67,20.0325,18.335,19.65,19.67,-0.02,-0.10
08-MAY-2015,19.65,19.65,17.4375,19.11,19.65,-0.54,-2.75
11-MAY-2015,19.11,19.28,16.7675,18.625,19.11,-0.49,-2.54
12-MAY-2015,18.625,21.3275,17.22,20.545,18.625,1.92,10.31
13-MAY-2015,20.545,21.4325,18.0975,20.685,20.545,0.14,0.68
14-MAY-2015,20.685,21.905,19.815,20.7,20.685,0.02,0.07
15-MAY-2015,20.7,20.9825,19.095,19.815,20.7,-0.89,-4.28
18-MAY-2015,19.815,20.47,16.77,17.9025,19.815,-1.91,-9.65
19-MAY-2015,17.9025,18.525,14.865,18.27,17.9025,0.37,2.05
20-MAY-2015,18.27,18.27,15.5725,17.7175,18.27,-0.55,-3.02
21-MAY-2015,17.7175,18.06,16.1425,17.4125,17.7175,-0.31,-1.72
22-MAY-2015,17.4125,17.44,14.195,16.9475,17.4125,-0.47,-2.67
25-MAY-2015,16.9475,17.6975,14.68,16.9325,16.9475,-0.02,-0.09
26-MAY-2015,16.9325,17.8425,15.2875,17.0675,16.9325,0.14,0.80
27-MAY-2015,17.0675,17.9675,16.905,17.2825,17.0675,0.22,1.26
28-MAY-2015,17.2825,17.72,16.5975,17.1325,17.2825,-0.15,-0.87
29-MAY-2015,17.1325,17.71,16.4375,16.6575,17.1325,-0.48,-2.77
01-JUN-2015,16.6575,17.46,16.0575,16.9125,16.6575,0.26,1.53
02-JUN-2015,16.9125,17.1375,16.0325,16.82,16.9125,-0.09,-0.55
03-JUN-2015,16.82,17.9175,15.8575,17.505,16.82,0.69,4.07
04-JUN-2015,16.82,18.67,16.465,18.1225,16.82,1.30,7.74
05-JUN-2015,18.1225,18.375,17.6875,18.0875,18.1225,-0.04,-0.19
08-JUN-2015,18.0875,19.065,17.1575,18.885,18.0875,0.80,4.41
09-JUN-2015,18.885,19.1175,16.475,18.01,18.885,-0.88,-4.63
10-JUN-2015,18.01,18.02,16.7125,17.0775,18.01,-0.93,-5.18
11-JUN-2015,17.0775,17.95,15.9475,17.805,17.0775,0.73,4.26
12-JUN-2015,17.805,18.2075,16.075,17.4775,17.805,-0.33,-1.84
15-JUN-2015,17.4775,18.02,15.3475,17.525,17.4775,0.05,0.27
16-JUN-2015,17.525,17.855,14.0925,17.1675,17.525,-0.36,-2.04
17-JUN-2015,17.1675,17.1875,14.2975,16.7275,17.1675,-0.44,-2.56
18-JUN-2015,16.7275,16.7275,14.235,16.015,16.7275,-0.71,-4.26
19-JUN-2015,16.015,16.015,14.905,15.085,16.015,-0.93,-5.81
22-JUN-2015,15.085,15.7475,13.735,15.4875,15.085,0.40,2.67
23-JUN-2015,15.4875,16.5425,14.8275,15.0425,15.4875,-0.45,-2.87
24-JUN-2015,15.0425,16.61,14.945,15.915,15.0425,0.87,5.80
25-JUN-2015,15.915,16.7075,15.4775,15.93,15.915,0.02,0.09
26-JUN-2015,15.93,16.525,15.515,15.76,15.93,-0.17,-1.07
29-JUN-2015,15.76,18.775,15.76,17.2975,15.76,1.54,9.76
30-JUN-2015,17.2975,17.8375,16.7775,16.9275,17.2975,-0.37,-2.14
